0.000000000000000000e+00, 3.968450677258467674e-01
1.000000000000000000e+00, 3.298963464368073750e-01
2.000000000000000000e+00, 2.764953180651881226e-01
3.000000000000000000e+00, 2.068323484957927672e-01
4.000000000000000000e+00, 1.666390482857293132e-01
5.000000000000000000e+00, 9.126775564209747837e-02
6.000000000000000000e+00, 9.200151178133110508e-02
7.000000000000000000e+00, 7.434049766838475570e-02
8.000000000000000000e+00, 7.229966660505728060e-02
9.000000000000000000e+00, 7.658681228917582628e-02
1.000000000000000000e+01, 4.828069974525504154e-02
1.100000000000000000e+01, 5.180462021705774939e-02
1.200000000000000000e+01, 6.973800766442131427e-02
1.300000000000000000e+01, 7.173622093237007336e-02
1.400000000000000000e+01, 3.048983931913002224e-02
1.500000000000000000e+01, 3.274777017952121283e-02
1.600000000000000000e+01, 2.946678853853340260e-02
1.700000000000000000e+01, 2.937759564751088459e-02
1.800000000000000000e+01, 2.784014710284001340e-02
1.900000000000000000e+01, 2.691731305338255012e-02
2.000000000000000000e+01, 3.467773931671365439e-02
2.100000000000000000e+01, 2.530050315096169303e-02
2.200000000000000000e+01, 8.086380099157802759e-02
2.300000000000000000e+01, 6.646249385747114713e-02
2.400000000000000000e+01, 3.720718674286406513e-02
2.500000000000000000e+01, 2.905988695025011129e-02
2.600000000000000000e+01, 1.715268000815473731e-02
2.700000000000000000e+01, 1.687084534371503797e-02
2.800000000000000000e+01, 1.253369298134083230e-02
2.900000000000000000e+01, 7.786190654834520934e-03
3.000000000000000000e+01, 1.246032142063025622e-02
3.100000000000000000e+01, 1.059129858068555245e-02
3.200000000000000000e+01, 1.166587345901348716e-02
